What is virtualization?,Using physical servers only,Running multiple VMs on one host,Encrypting hard drives,Testing networks,1
What is the purpose of hashing passwords?,Speed login,Check integrity and protect passwords,Increase bandwidth,Track users,1
Which term means removing unneeded software?,Wiping,Patching,Hardening,Cloning,2
What does DLP prevent?,User access control,Data leakage,Service outages,Password reuse,1
What is a certificate authority?,Signs digital certificates,Manages firewalls,Issues passwords,Monitors logs,0
What is a VLAN?,Encrypted tunnel,Log file,Virtual network segment,Backup system,2
Which port does DNS use?,443,53,20,143,1
What is credential stuffing?,Phishing attack,Using leaked credentials,MITM attack,SQL attack,1
What is mobile device management?,Encrypting servers,Managing mobile devices,Scanning wireless traffic,Running VMs,1
What is a backdoor?,Hidden access method,Encrypted file,VPN tunnel,Keylogger,0
Which tool is used for exploitation?,Burp Suite,Nmap,Metasploit,Wireshark,2
What is an SLA?,Service Level Agreement,Security Log Audit,Server Lock Administration,System Lifecycle Assessment,0
What is XSS?,Cross-site scripting,XML server sync,Cross server scanning,Xtra secure socket,0
